id,name,position,team,price,totalPoints,form,lastPoints,lineup,xPtsRound,xPts,mins,goals,assists,cleanSheet,shotsOnTarget,saves,conceded,yellowCards,redCards
g|95053|3|4665031,Alisson,GK,BRA,6.0,10.8,5.4,7.8,expected,3.88,17.64,180,0,0,1,0,0,1,0,0
g|95053|3|4665420,Mike Maignan,GK,FRA,6.5,9.6,4.8,6.3,expected,3.07,17.3,180,0,0,1,0,0,1,0,0
g|95053|3|4666137,Unai Simon,GK,ESP,6.5,13.3,6.65,6.8,expected,3.07,17.3,180,0,0,2,0,0,0,0,0
g|95053|3|4665378,Jordan Pickford,GK,ENG,6.5,8.8,4.4,6.0,expected,3.07,17.06,180,0,0,1,0,0,2,0,0
g|95053|3|4664900,Emiliano Martinez,GK,ARG,6.0,13.1,6.55,6.8,expected,3.07,16.64,180,0,0,2,0,0,0,0,0
g|95053|3|4665923,Diogo Costa,GK,POR,6.0,9.8,4.9,7.3,expected,3.07,16.64,180,0,0,1,0,0,1,0,0
g|95053|3|4682334,Manuel Neuer,GK,GER,6.0,5.6,2.8,2.8,expected,3.21,15.98,180,0,0,0,0,0,2,0,0
g|95053|3|4665765,Bart Verbruggen,GK,NED,5.5,7.3,3.65,5.8,expected,4.18,15.82,180,0,0,0,0,0,3,0,0
g|95053|3|4664994,Thibaut Courtois,GK,BEL,5.5,10.5,5.25,7.5,expected,3.07,14.44,180,0,0,1,0,0,1,0,0
g|95053|3|4666207,Gregor Kobel,GK,SUI,5.0,6.8,3.4,3.3,expected,3.1,13.7,180,0,0,0,0,0,2,0,0
g|95053|3|4665745,Yassine Bounou,GK,MAR,5.0,10.3,5.15,6.3,expected,4.07,13.66,180,0,0,1,0,0,1,0,0
g|95053|3|4665129,Camilo Vargas,GK,COL,5.5,9.6,4.8,6.8,expected,3.07,13.06,180,0,0,1,0,0,1,0,0
g|95053|3|4665645,Zion Suzuki,GK,JPN,5.0,9.3,4.65,6.3,expected,3.19,12.78,180,0,0,1,0,0,2,0,0
g|95053|3|4665712,Guillermo Ochoa,GK,MEX,4.5,0.0,0.0,0.0,expected,3.23,12.52,0,0,0,0,0,0,0,0,0
g|95053|3|4666112,Seung-gyu Kim,GK,KOR,4.0,7.0,3.5,3.2,expected,3.53,12.5,180,0,0,0,0,0,2,0,0
g|95053|3|4666336,Fernando Muslera,GK,URU,4.5,5.0,2.5,2.0,expected,3.07,12.5,180,0,0,0,0,0,3,0,0
g|95053|3|4666300,Matt Freese,GK,USA,5.0,9.6,4.8,7.3,expected,3.16,12.45,180,0,0,1,0,0,1,0,0
g|95053|3|4665224,Dominik Livakovic,GK,CRO,5.0,10.0,5.0,6.8,expected,3.07,12.04,180,0,0,1,0,0,4,0,0
g|95053|3|4666046,Mory Diaw,GK,SEN,4.5,1.3,1.3,1.3,expected,3.07,12.04,28,0,0,0,0,0,0,0,0
g|95053|3|4665622,Yahia Fofana,GK,CIV,4.5,10.0,5.0,3.2,expected,3.99,11.75,180,0,0,1,0,0,2,0,0
g|95053|3|4664972,Alexander Schlager,GK,AUT,4.5,5.5,2.75,1.7,expected,3.07,11.67,180,0,0,0,0,0,3,0,0
g|95053|3|4666267,Ugurcan Cakir,GK,TUR,5.0,3.9,1.95,2.2,expected,3.03,11.63,180,0,0,0,0,0,3,0,0
g|95053|3|4665312,Hernan Galindez,GK,ECU,5.0,10.7,5.35,7.5,expected,3.02,11.62,180,0,0,1,0,0,1,0,0
g|95053|3|4665826,Orjan Nyland,GK,NOR,5.5,4.6,2.3,2.3,expected,3.07,11.43,180,0,0,0,0,0,3,0,0
g|95053|3|4666172,Kristoffer Nordfelt,GK,SWE,4.5,3.5,1.75,0.7,expected,3.03,11.21,180,0,0,0,0,0,6,0,0
g|95053|3|4665282,Matej Kovar,GK,CZE,4.5,6.2,3.1,3.5,expected,3.0,11.18,180,0,0,0,0,0,3,0,0
g|95053|3|4665077,Maxime Crepeau,GK,CAN,4.5,9.3,4.65,6.3,expected,3.05,11.09,180,0,0,1,0,0,1,0,0
g|95053|3|4686361,Patrick Beach,GK,AUS,4.0,11.5,5.75,1.2,expected,3.05,11.09,180,0,0,1,0,0,2,0,0
g|95053|3|4666016,Angus Gunn,GK,SCO,4.5,9.5,4.75,2.2,expected,2.98,10.91,180,0,0,1,0,0,1,0,0
g|95053|3|4665488,Benjamin Asare,GK,GHA,4.5,10.3,5.15,7.5,expected,3.07,10.83,135,0,0,1,0,0,0,0,0
g|95053|3|4665159,Nikola Vasilj,GK,BIH,4.5,3.7,1.85,1.2,expected,3.49,10.82,180,0,0,0,0,0,5,0,0
g|95053|3|4665346,Oufa Shobeir,GK,EGY,4.0,7.8,3.9,4.3,expected,3.07,10.7,180,0,0,0,0,0,2,0,0
g|95053|3|4665545,Alireza Beiranvand,GK,IRN,4.5,13.5,6.75,9.5,expected,3.07,10.7,180,0,0,1,0,0,2,0,0
g|95053|3|4680522,Abdelmouhib Chamakh,GK,TUN,4.0,0.2,0.2,0.0,expected,3.05,10.68,90,0,0,0,0,0,5,0,0
g|95053|3|4665958,Mahmoud Abunada,GK,QAT,4.0,2.2,1.1,0.7,expected,3.03,10.66,180,0,0,0,0,0,7,1,0
g|95053|3|4665981,Mohammed Al-Owais,GK,KSA,4.5,8.7,4.35,2.2,expected,3.07,10.52,180,0,0,0,0,0,5,0,0
